Household_ID,Vulnerability_Category,Household_Size,Dependency_Ratio,Primary_Income_Source,Employment_Status,Monthly_Income,Food_Assistance_Received,Cash_Assistance_Received,Total_Assistance_Value,Monthly_Expenditure,Current_Debt_Level,Debt_Status,Food_Consumption_Score,Food_Security_Status,Head_of_Household_Gender,Head_of_Household_Age,Female_Headed_Household,Disability_In_Household,Chronic_Illness_In_Household,Elderly_Members_Count,Children_Under_5_Count,Years_In_Camp
13656,2,8,1.98,business,Unemployed,3773,5434,4409,9843,4735,2206,Low,39.76,Insecure,male,47,yes,yes,N,2,3,17
6306,3,2,0.5,business,Employed,5429,6347,6763,13110,5364,9958,High,64.47,Insecure,male,65,no,yes,no,0,2,2
6701,3,8,2.9,trading,unemp,6252,8098,6726,14824,6750,11562,Low,66.47,Secure,Male,39,no,Y,Yes,1,1,8
12207,2,6,1.3,Casual Labor,Self-Employed,1595,3198,2155,5353,2678,8489,Hgh,10.38,Secure,Male,27,No,no,N,0,0,0
15566,4,6,0.74,agriculture,Unemployed,7008,8144,8013,16157,8059,8606,Medium,65.55,Sec,male,60,no,No,Yes,0,2,20
11131,2,10,1.43,agriculture,Self-Employed,4622,5693,5891,11584,5487,1494,Lw,58.81,Sec,Male,39,N,N,no,2,1,4
3608,1,10,1.41,Casual Labor,unemp,768,1561,1748,3309,490,6821,High,28.36,Sec,f,36,N,no,Yes,3,4,13
12556,1,7,0.72,Trading,employd,2.2k,2905,3472,6377,3100,366,Low,18.68,Secure,Femal,62,N,Y,Yes,2,2,5
3977,3,10,0.82,Agriculture,unemp,5.2k,6327,6418,12745,6874,69,High,57.3,Moderate,FEMALE,70,N,yes,no,3,2,14
2831,1,5,0.47,agriculture,Employed,1936,3654,3079,6733,3215,9366,Low,32.12,Sec,FEMALE,24,no,No,N,3,0,14
10488,1,8,0.78,Business,Employed,1920,3863,3232,7095,3852,5981,High,15.25,Insecure,Male,33,No,yes,N,1,3,19
7992,2,4,0.7,business,Self-Employed,4979KES,5552,6395,11947,5446,7115,Medium,56.55,Sec,Male,59,No,N,No,0,1,16
9070,3,2,2.2,Casual Labor,employd,5678,6342,6730,13072,7161,7141,Low,60.47,Sec,Femal,43,yes,N,No,1,2,6
1463,4,5,1.38,Agriculture,employd,9204,10807,9627,20434,9336,3240,Medium,93.79,Secure,Femal,24,yes,Yes,Y,1,3,19
10609,3,4,0.87,aid,Self-Employed,6011,6858,7315,14173,6114,634,Lw,65.25,Secure,f,77,No,yes,No,0,0,7
5526,2,8,0.44,Business,Employed,2271,3494,3584,7078,3986,5048,Hgh,10.25,Insecur,Male,47,Yes,N,N,3,2,20
12681,2,9,2.51,trading,Self-Employed,4293,6121,5090,11211,6042,5928,High,36.36,Secure,Male,68,no,Y,Yes,0,2,16
9652,4,7,2.16,casual labor,Unemployed,5387,6704,5699,12403,6624,5074,Med,57.07,Moderate,Femal,42,Y,Y,Y,0,1,4
15684,1,11,2.03,trading,employd,2.5k,3615,3334,6949,2847,7560,Med,32.52,Moderate,f,24,no,Y,N,1,1,3
17332,2,8,2.81,aid,SelfEmployed,2751KES,3877,4097,7974,4088,297,Low,26.11,Sec,Femal,71,Yes,no,Yes,1,3,13
10948,4,3,0.28,business,SelfEmployed,6167,6882,7444,14326,5874,7321,Low,55.11,Secure,FEMALE,22,N,N,N,0,2,6
13163,1,4,0.07,casual labor,SelfEmployed,3003,3960,4486,8446,3458,2996,Hgh,17.89,Insecur,FEMALE,25,N,N,Y,2,2,20
15139,1,6,2.17,Business,SelfEmployed,1753,3655,3136,6791,2991,2591,Medium,23.05,Insecur,male,56,Yes,Yes,Y,3,3,6
6341,1,9,2.36,Aid,Employed,2713,3878,3273,7151,4385,6191,Low,34.95,Secure,Male,39,Y,yes,N,2,1,17
1776,3,9,0.11,trading,SelfEmployed,3114,4526,3456,7982,2711,9774,Hgh,33.57,Mod,Femal,53,N,no,Yes,2,2,3
10569,3,8,0.78,aid,employd,3655,5573,5123,10696,4091,3695,Med,40.18,Insecur,Male,40,no,Y,Y,1,2,2
12416,3,9,2.97,aid,Unemployed,4094,5560,4499,10059,5379,9472,Medium,29.92,Moderate,male,43,N,yes,Y,3,2,3
2407,1,7,0.55,Casual Labor,Self-Employed,2922,4241,4047,8288,3019,1075,Med,15.11,Insecure,FEMALE,69,No,N,Y,1,0,9
4006,1,7,2.45,casual labor,employd,1153,2790,2632,5422,1324,2836,High,24.78,Moderate,male,67,N,Y,Yes,2,2,5
10661,4,9,1.03,Business,employd,9818,10507,10269,20776,10297,1289,Low,94.5,Insecure,Male,34,Yes,no,yes,2,4,13
8791,2,6,1.01,business,Employed,2179KES,2771,2977,5748,3317,4279,Low,24.67,Secure,FEMALE,48,Y,N,N,0,3,2
14775,2,7,0.53,casual labor,Self-Employed,951KES,1495,1706,3201,2341,3188,High,0,Sec,Femal,79,no,N,N,0,2,15
12724,4,6,2,business,unemp,8675,9934,10084,20018,9025,1867,Hgh,76.73,Insecur,Male,46,No,No,No,1,2,17
5902,3,5,1.98,Business,SelfEmployed,"6,019",7514,6716,14230,7873,2816,Med,58.04,Mod,Male,56,Yes,Y,No,0,1,1
11648,2,8,1.88,Trading,SelfEmployed,4246,6207,5128,11335,3750,8052,Hgh,36.79,Insecur,M,57,no,yes,Y,2,3,6
10727,3,4,0.26,agriculture,Unemployed,6044,6753,6605,13358,7912,2859,High,66.28,Moderate,M,19,yes,N,yes,0,1,12
4009,1,6,1.93,Trading,Unemployed,256KES,1485,1375,2860,2192,9460,Medium,11.3,Sec,f,52,N,N,Yes,1,3,8
14294,1,6,0.36,business,Unemployed,61KES,1253,426,1679,370,2213,High,5.24,Insecur,M,24,N,No,Y,2,1,16
15325,3,9,0.33,casual labor,Self-Employed,6533,7328,7811,15139,6758,5652,Medium,47.85,Moderate,male,28,no,N,N,0,1,6
14164,2,4,0.35,agriculture,employd,2742,4423,3158,7581,2857,5705,Hgh,40.9,Insecur,Male,75,yes,yes,Yes,1,3,3
14600,2,5,1.63,Agriculture,Unemployed,3103,4508,4229,8737,3316,4575,Med,43.67,Sec,f,77,Y,Yes,No,0,1,19
674,3,3,1.48,casual labor,SelfEmployed,4089,5162,4651,9813,3721,1498,Low,30.1,Insecur,M,37,no,Yes,No,0,5,19
13727,2,7,2.48,Casual Labor,employd,4595,6502,5685,12187,5648,7687,Lw,51.28,Insecure,FEMALE,25,Yes,No,no,0,1,3
2016,4,5,2.23,aid,Unemployed,6172,6711,7230,13941,7999,3067,Med,55.99,Insecure,M,40,yes,no,yes,4,3,11
902,3,7,2.26,Aid,unemp,6485,7282,"7,227",14509,6020,9002,High,60.29,Mod,M,30,N,No,No,0,5,4
11936,2,7,2.13,business,Unemployed,2186,4043,3404,7447,3911,18322,High,29.38,Insecur,FEMALE,24,Y,yes,No,4,0,13
15796,1,5,2.42,Business,Self-Employed,720,2653,2075,4728,1932,5548,Med,7.43,Insecur,Femal,69,no,N,N,0,1,11
6544,4,7,1.13,trading,SelfEmployed,6950,8322,8233,16555,6829,6997,Lw,76.55,Moderate,Femal,25,no,Yes,Yes,2,2,15
11994,4,5,1.64,agriculture,SelfEmployed,5672,7280,6096,13376,6563,9236,Lw,33.8,Sec,Femal,21,N,Yes,Yes,0,4,5
843,3,4,2.27,trading,unemp,7305,8641,7625,16266,8883,6349,High,91.92,Moderate,f,79,yes,No,No,0,2,8
2037,2,5,0.69,Business,employd,888,1522,2283,3805,2704,4092,Medium,1.54,Secure,Male,75,Yes,Yes,Y,0,2,10
9380,4,6,1.87,casual labor,Unemployed,5921,7325,7384,14709,6373,3176,Lw,49.22,Insecure,Male,53,no,No,no,2,4,13
17339,3,2,2.66,business,Unemployed,4320,5479,4928,10407,5568,5922,Medium,61.91,Insecure,f,59,Yes,N,yes,1,0,9
1702,4,7,2.05,Business,SelfEmployed,10111,10969,10650,21619,10184,6396,Low,100,Secure,male,62,Y,N,Yes,1,0,2
13655,4,10,1.4,business,Unemployed,10003,11776,10947,22723,9719,3374,High,100,Insecur,Male,63,Yes,yes,yes,0,1,18
5731,1,5,1.35,Agriculture,unemp,448,1649,1170,2819,162,4523,Med,21.41,Mod,M,69,yes,yes,Y,1,0,16
6730,1,6,0.82,casual labor,SelfEmployed,543,2199,1128,3327,1226,6502,Hgh,6.2,Insecure,Femal,43,yes,N,No,2,1,17
16337,1,8,1.71,Casual Labor,Employed,1471,3194,1985,5179,3317,8065,Hgh,0,Insecure,Male,32,Yes,no,Yes,2,2,19
7133,3,6,2.36,casual labor,SelfEmployed,5041,6212,5661,11873,6077,5981,Lw,58.67,Insecur,Femal,77,Y,yes,Y,2,0,18
11919,4,4,0.35,Business,Employed,5166,5800,6639,12439,4709,2780,Low,58.59,Moderate,M,64,Yes,no,Yes,2,3,10
1378,3,12,0.96,Trading,Self-Employed,4302,4981,5374,10355,3853,53,Low,51.21,Insecure,M,66,no,Y,No,0,1,20
15466,3,8,0.37,Aid,unemp,5118KES,6199,6038,12237,6159,1871,Med,55.13,Sec,f,30,no,No,No,1,3,6
7660,2,11,1.45,Agriculture,employd,4458,5061,5215,10276,4587,98,High,48.75,Insecur,f,52,Yes,yes,N,1,4,15
16387,3,3,0.2,business,employd,5509,7342,6390,13732,6188,7847,Med,63.11,Moderate,male,25,yes,N,No,0,5,10
14872,1,6,1.21,Aid,Unemployed,769KES,2459,1102,3561,2560,2336,Low,5.45,Sec,FEMALE,64,N,Yes,yes,1,2,1
5656,4,4,3,casual labor,Employed,9462,10078,9838,19916,9689,4387,Medium,100,Insecure,Femal,21,N,No,no,2,2,1
7026,3,7,1.42,Business,Employed,3117,4279,4199,8478,3517,1714,Medium,36.19,Mod,male,44,no,No,Yes,0,0,15
9825,2,9,2.97,trading,unemp,2151,4135,3311,7446,1793,7530,Lw,29.98,Insecure,M,39,Yes,yes,Y,0,2,9
11705,4,6,2.76,casual labor,unemp,5463,"6,621",6727,13348,5347,3885,Low,43.11,Insecure,Femal,51,no,No,N,0,0,6
15509,2,10,0.67,Trading,SelfEmployed,3205,3909,4155,8064,5200,8669,Hgh,25.84,Insecur,M,72,Yes,yes,Y,0,4,16
14818,4,5,2.73,Casual Labor,Unemployed,6028,7014,6774,13788,7519,7921,Medium,38.63,Mod,f,28,No,No,Y,2,2,2
12828,3,7,1.42,trading,Unemployed,4090,5547,"5,366",10913,4411,3477,Lw,45.19,Insecure,male,57,no,Yes,N,1,2,18
10957,3,9,2.16,Business,SelfEmployed,4050,4641,5172,9813,3979,7838,High,41.15,Insecur,Male,76,N,No,Y,2,0,16
10633,4,6,2.87,trading,unemp,6827,7545,7539,15084,8077,2866,Hgh,67.64,Mod,Male,41,Y,N,Y,0,2,4
5831,1,4,2.68,Trading,unemp,-25,760,953,1713,1618,1006,Hgh,1.05,Secure,FEMALE,22,Y,Yes,No,0,1,11
3033,3,5,2.96,business,Employed,5652,7366,6845,14211,6059,799,Hgh,57.43,Insecur,M,29,No,no,no,4,2,1
16293,2,6,1.87,agriculture,employd,4428,5750,4810,10560,5222,6787,High,47.99,Sec,Femal,65,No,No,no,0,3,9
1893,3,4,2.92,agriculture,Self-Employed,5767,6711,6691,13402,7410,2545,High,39.48,Moderate,FEMALE,19,N,N,Yes,1,2,9
1190,2,8,0.78,agriculture,Unemployed,2447KES,3415,2842,6257,2248,5296,Low,22.54,Sec,f,56,Y,no,No,1,2,3
6439,1,6,0.57,aid,Unemployed,2295,3463,3118,6581,1851,4665,Medium,12.47,Insecure,male,39,Yes,yes,N,1,2,3
6588,3,6,1.04,business,Employed,3960,"5,913",4270,10183,5714,1623,High,45.09,Insecur,FEMALE,44,no,No,no,0,4,0
15341,4,5,2.28,Trading,Unemployed,8.0k,9050,8315,17365,8981,4690,Med,61.01,Moderate,male,21,Yes,yes,N,0,3,8
14865,2,6,2.91,Casual Labor,Self-Employed,2.2k,3604,2579,6183,3683,8489,Low,14.89,Secure,M,78,no,No,N,0,4,0
14564,4,2,1,Business,SelfEmployed,5897,7229,7101,14330,7441,8725,Med,54.11,Insecur,Femal,77,Yes,No,no,3,0,8
11783,1,7,2.71,trading,Unemployed,1398,2976,2610,5586,1796,8527,Lw,4.31,Mod,Male,21,No,yes,No,1,2,3
2512,4,6,2.09,Aid,Employed,6445,7296,6826,14122,8221,8836,Low,62.4,Insecur,M,19,Yes,Y,Yes,0,1,5
9088,4,4,0.23,Aid,employd,7713,8638,8222,16860,9235,7823,High,68.75,Sec,M,67,Yes,no,no,0,2,3
13333,4,6,1.5,Trading,SelfEmployed,7667,8719,8674,17393,8484,3101,High,55.56,Insecure,f,72,no,Y,Y,0,1,4
11447,1,6,2.93,business,Employed,1112KES,"2,681",2569,5250,2986,6285,High,22.86,Sec,male,36,No,Y,Yes,0,1,14
9571,3,4,0.84,Agriculture,SelfEmployed,6564,7752,7233,14985,7710,9860,Low,59.15,Insecure,M,34,No,yes,Y,1,4,6
9954,2,3,0.95,Trading,employd,937KES,2090,1625,3715,1408,3991,Lw,24.12,Secure,f,20,No,yes,N,4,1,5
1846,1,5,0.08,Agriculture,SelfEmployed,2431,2996,3411,6407,2122,5786,High,25.06,Moderate,male,76,no,N,no,0,2,18
10748,1,7,0.6,Business,unemp,1734,3646,3084,6730,2972,3440,Hgh,25.84,Insecure,Male,73,N,Yes,Y,2,1,10
3919,2,3,2.99,Aid,Self-Employed,2230,"3,040",2744,5784,2006,4141,High,22.47,Insecure,M,29,Y,yes,yes,2,0,10
5575,1,8,2.07,agriculture,employd,2175,"3,517",3513,7030,3261,439,Med,25.8,Insecur,Male,47,Y,yes,N,2,1,14
4141,3,3,2.46,business,employd,5118,5732,6562,12294,5885,4169,Low,48.84,Secure,Femal,46,no,N,yes,0,3,11
16330,3,6,1.2,Trading,Employed,4689,5986,6085,12071,4679,6729,Lw,54.18,Insecur,M,69,Y,Y,N,0,1,17
7256,2,10,1.95,Agriculture,Unemployed,3169,4054,3765,7819,4400,2650,Hgh,12.92,Sec,Male,24,no,N,Y,1,0,20
11945,3,5,2.91,Casual Labor,Self-Employed,5129,6517,5900,12417,6316,3256,Medium,47.53,Sec,Femal,55,Yes,Yes,yes,2,3,8
13997,3,6,2.23,casual labor,SelfEmployed,5134,6696,"6,545",13241,5736,8561,Medium,51.56,Sec,M,78,No,Y,yes,2,3,0
9160,4,5,2.53,Casual Labor,employd,"4,852","6,559",5790,12349,4499,1223,Hgh,35.91,Sec,M,54,No,N,Y,0,1,7
16083,1,5,2.41,aid,Unemployed,837,2797,1786,4583,1008,4850,Med,18.31,Sec,FEMALE,41,Yes,Y,Yes,2,3,19
14023,3,8,1.11,casual labor,Self-Employed,4565,6183,5798,11981,5780,3811,Low,49.43,Insecur,FEMALE,25,yes,N,Yes,0,2,19
9750,3,6,0.29,business,unemp,6973,"7,664",7393,15057,8001,6277,Hgh,74.19,Moderate,f,66,yes,yes,yes,1,1,17
14862,2,7,2.74,business,unemp,1655,2522,2084,4606,1637,2439,Med,13.21,Insecure,Male,21,No,N,No,2,3,20
7609,2,7,1.31,agriculture,unemp,3746,4658,4604,9262,3436,2888,Hgh,27.95,Insecure,FEMALE,61,No,Yes,Yes,1,3,7
8976,3,5,0.02,trading,Employed,3227,4590,3949,8539,4780,6654,High,40.57,Moderate,f,34,No,yes,no,1,2,6
3961,4,8,1.62,business,Self-Employed,9128,"10,163",10184,20347,10894,8834,High,96.54,Mod,M,40,No,No,No,0,1,7
9516,4,4,1.93,casual labor,Employed,"9,151",10004,10133,20137,10682,763,Med,88.32,Insecur,Male,57,no,yes,no,1,2,19
7643,4,6,1.12,Business,Employed,7567,"8,596",8158,16754,8267,2813,Low,75.01,Mod,M,53,Y,N,N,1,1,15
16333,2,10,2.69,trading,Self-Employed,1401,2633,2353,4986,2863,3631,Hgh,0,Secure,Male,34,Y,Y,Yes,0,3,20
11909,2,3,1.78,Aid,employd,2253,2856,2821,5677,3536,648,Lw,20.73,Moderate,Male,36,yes,no,no,0,2,20
16321,4,4,1,Casual Labor,SelfEmployed,9022,10177,10460,20637,9863,8065,Lw,86,Insecure,FEMALE,73,Yes,Yes,yes,0,3,0
13990,1,6,2.08,casual labor,unemp,527,2057,1759,3816,2272,2491,Hgh,0,Sec,M,41,no,no,no,0,2,10
8343,3,7,2.98,trading,Self-Employed,4711,6335,6142,12477,6682,5106,Medium,47.74,Moderate,M,45,No,No,Yes,2,2,19
1167,4,4,2.04,casual labor,employd,5828,7089,6454,13543,5504,2274,Medium,44.07,Insecur,FEMALE,24,no,N,yes,1,2,16
11729,4,1,0.5,Aid,Employed,7727,9068,8427,17495,7296,2697,Med,89.95,Insecur,Male,42,Y,no,Y,2,2,16
13155,1,6,0.98,Trading,Employed,1429,2310,2366,4676,3180,7171,Low,12.24,Mod,M,38,yes,Y,No,1,2,15
16862,4,16,0.49,agriculture,employd,4777,6135,6069,12204,4571,4612,Low,52.44,Sec,f,62,no,N,Y,2,1,6
14258,3,5,1.6,Business,employd,4022KES,5680,4878,10558,5562,7881,Hgh,29.07,Moderate,M,78,N,Yes,N,1,1,14
7240,2,7,0.86,casual labor,unemp,4519,5970,5733,11703,4022,15672,Hgh,33.46,Insecure,f,62,yes,Yes,Y,2,6,3
459,1,5,2.8,Aid,unemp,1447,3158,2606,5764,1012,2349,Low,18.8,Insecure,f,22,No,no,No,0,2,8
15983,1,8,0.03,Trading,SelfEmployed,600,2319,937,3256,1461,6492,Med,1.38,Sec,f,58,No,yes,Y,0,1,15
15252,1,7,0.16,aid,Employed,3188,4774,3848,8622,4532,7404,Hgh,27.07,Secure,FEMALE,56,N,Yes,No,1,1,8
10414,3,8,2.55,aid,Employed,6555KES,8487,7838,16325,6312,7703,Med,83.68,Sec,FEMALE,32,N,no,N,0,3,11
555,4,3,1.33,aid,Self-Employed,6797,8167,7939,16106,7038,5925,Medium,75.01,Insecur,FEMALE,78,yes,No,no,0,1,19
7884,2,4,1.61,Agriculture,Self-Employed,1545,3181,2116,5297,1217,362,Medium,12.7,Insecure,M,71,Yes,Yes,Y,1,1,12
16765,4,3,1.44,agriculture,Unemployed,9202,10455,9708,20163,10420,2887,Lw,87.7,Sec,f,54,N,Y,Yes,2,2,5
426,3,6,0.45,trading,Employed,5489,7231,6598,13829,6431,3883,High,63.77,Insecure,f,20,no,yes,No,1,1,13
16430,2,7,2.99,business,SelfEmployed,3230,4774,3631,8405,3912,64,Low,37.53,Insecur,f,77,No,N,yes,2,1,12
1283,2,9,2.14,Trading,Employed,4619,5887,5339,11226,5148,6281,Lw,42.83,Insecure,f,73,Yes,no,N,1,3,17
5569,1,6,0.92,Casual Labor,employd,2094,3199,3285,6484,3661,2288,Med,17.42,Insecur,f,42,N,yes,N,0,0,19
2654,3,8,2.98,Aid,SelfEmployed,4080,5324,"4,544",9868,4669,226,Medium,41.43,Moderate,male,63,yes,no,Y,3,3,0
7651,4,4,2.82,aid,Employed,8027,9728,9129,18857,9776,7141,Low,86.49,Insecur,f,77,yes,Yes,no,3,2,17
14999,4,6,2.41,Aid,Unemployed,"7,141",8544,7739,16283,8336,18164,Med,50.8,Insecur,M,25,no,Yes,N,1,1,11
10870,1,7,1.54,Business,SelfEmployed,2913,3975,3237,7212,3650,1443,Lw,21.92,Moderate,male,59,Y,yes,Yes,0,3,13
13987,2,3,0.61,Agriculture,employd,1846,"3,261",2801,6062,2406,6272,Medium,13.9,Secure,male,25,Yes,No,No,2,2,15
8923,3,4,2.7,Casual Labor,SelfEmployed,6304,6980,6966,13946,6257,3588,Hgh,73.15,Sec,male,31,No,no,No,0,4,9
3416,4,7,2.71,casual labor,SelfEmployed,9637,"10,774",10039,20813,11528,417,Med,100,Mod,FEMALE,23,No,yes,No,1,2,10
9201,3,6,0.31,Business,Unemployed,3140,3965,"4,505",8470,4462,256,Medium,15.29,Moderate,Femal,55,No,Yes,Yes,0,1,12
5581,4,7,1.08,Agriculture,Unemployed,8666,10247,9563,19810,9301,5940,High,80.71,Moderate,FEMALE,49,yes,Y,No,1,2,1
6316,1,5,0.96,Casual Labor,Employed,2546,3353,2991,6344,3115,288,High,41.87,Moderate,male,47,Yes,N,N,1,1,6
9994,3,5,0.52,Agriculture,SelfEmployed,4040,4943,4741,9684,4098,4941,High,45.13,Moderate,f,71,Y,Yes,yes,4,3,14
11120,3,6,2.23,Business,SelfEmployed,4057KES,"5,617",4521,10138,5650,487,Low,48.91,Secure,male,36,Y,Yes,yes,0,5,20
5428,4,4,1.47,aid,unemp,6241,7635,7433,15068,5998,6277,Hgh,72.37,Secure,Femal,23,N,no,no,1,1,5
13075,1,1,2.38,Casual Labor,employd,1732,3483,"2,791",6274,3372,3872,Medium,0,Sec,Femal,40,No,no,yes,1,2,0
2278,4,2,2.98,Trading,unemp,7859,8522,8515,17037,8999,9893,Medium,79.75,Insecure,Femal,23,Yes,no,No,0,3,10
11690,1,5,1.29,Casual Labor,employd,2160,4146,2461,6607,1744,495,Medium,27.41,Moderate,M,26,N,Y,no,1,3,0
5930,4,4,0.32,Agriculture,SelfEmployed,5358,5947,6353,12300,4993,9010,Low,57.71,Insecure,Male,57,yes,Yes,Yes,0,2,0
1979,1,6,2.38,Trading,Unemployed,1964,3804,2844,6648,1528,1721,Lw,9.05,Sec,Male,32,Yes,yes,No,2,0,19
11722,3,5,1.33,Trading,Employed,4518,6124,4984,11108,5901,8020,Medium,29.31,Mod,male,46,no,N,No,0,1,20
15076,2,4,2.17,casual labor,SelfEmployed,3188,4835,4350,9185,2688,8962,Low,31.83,Insecure,f,78,yes,Y,Y,0,1,11
2280,3,9,0.92,business,employd,"3,684",5325,3997,9322,3184,8969,Med,37.65,Secure,male,67,N,Y,Yes,1,3,13
7688,2,9,2.34,Aid,SelfEmployed,1674,2431,2025,4456,2335,3964,Low,20.83,Moderate,Femal,33,no,no,No,0,2,16
15414,1,6,0.99,casual labor,Employed,1376,3101,1842,4943,1683,7336,High,22.68,Mod,Male,64,yes,yes,No,1,3,9
15245,1,3,1.74,Business,Unemployed,2473,4325,3460,7785,3097,1954,Med,33.02,Secure,M,35,N,Y,Y,1,3,12
13632,2,5,1.21,trading,unemp,1425,3308,2860,6168,1393,4223,Med,7.21,Sec,f,50,no,Yes,yes,2,1,14
9424,3,6,0.66,aid,Self-Employed,3908,5717,4782,10499,3756,4192,High,21.68,Mod,FEMALE,69,Yes,yes,N,0,2,17
